ProductID,ProductName,Category,Price
P001,Product 1,Electronics,137.5
P002,Product 2,Accessories,175.0
P003,Product 3,Furniture,212.5
P004,Product 4,Groceries,250.0
P005,Product 5,Clothing,287.5
P006,Product 6,Electronics,325.0
,Product 7,Accessories,362.5
P008,Product 8,Furniture,400.0
P009,Product 9,Groceries,437.5
P010,Product 10,Clothing,475.0
P011,Product 11,Electronics,512.5
P012,Product 12,Accessories,550.0
P013,Product 13,Furniture,587.5
P014,Product 14,Groceries,-250
P015,Product 15,Clothing,662.5
P016,Product 16,Electronics,700.0
P017,Product 17,Accessories,737.5
P018,Product 18,Furniture,775.0
P019,Product 19,Groceries,812.5
P020,Product 20,Clothing,850.0
P020,Product 21,Electronics,887.5
P022,Product 22,Accessories,925.0
P023,Product 23,Furniture,962.5
P024,Product 24,Groceries,1000.0
P025,Product 25,Clothing,1037.5
P026,Product 26,Electronics,1075.0
P027,Product 27,Accessories,1112.5
P028,Product 28,Furniture,0
P029,Product 29,Groceries,1187.5
P030,Product 30,Clothing,1225.0
P031,Product 31,Electronics,1262.5
P032,Product 32,Accessories,1300.0
P033,Product 33,Furniture,1337.5
P034,Product 34,Groceries,1375.0
P035,Product 35,Clothing,1412.5
P036,Product 36,Electronics,1450.0
P037,Product 37,Accessories,1487.5
P038,Product 38,Furniture,1525.0
P039,Product 39,Groceries,1562.5
P040,Product 40,Clothing,1600.0
P041,Product 41,Electronics,1637.5
P042,Product 42,Accessories,1675.0
P043,Product 43,Furniture,1712.5
P044,Product 44,Groceries,1750.0
P045,Product 45,Clothing,1787.5
P046,Product 46,Electronics,1825.0
P047,Product 47,Accessories,1862.5
P048,Product 48,Furniture,1900.0
P049,Product 49,Groceries,1937.5
P050,Product 50,Clothing,1975.0
P051,Product 51,Electronics,2012.5
P052,Product 52,Accessories,2050.0
P053,Product 53,Furniture,2087.5
P054,Product 54,Groceries,2125.0
P055,Product 55,Clothing,2162.5
P056,Product 56,Electronics,2200.0
P057,Product 57,Accessories,2237.5
P058,Product 58,Furniture,2275.0
P059,Product 59,Groceries,2312.5
P060,Product 60,Clothing,2350.0
P061,Product 61,Electronics,2387.5
P062,Product 62,Accessories,2425.0
P063,Product 63,Furniture,2462.5
P064,Product 64,Groceries,2500.0
P065,Product 65,Clothing,2537.5
P066,Product 66,Electronics,2575.0
P067,Product 67,Accessories,2612.5
P068,Product 68,Furniture,2650.0
P069,Product 69,Groceries,2687.5
P070,Product 70,Clothing,2725.0
P071,Product 71,Electronics,2762.5
P072,Product 72,Accessories,2800.0
P073,Product 73,Furniture,2837.5
P074,Product 74,Groceries,2875.0
P075,Product 75,Clothing,2912.5
P076,Product 76,Electronics,2950.0
P077,Product 77,Accessories,2987.5
P078,Product 78,Furniture,3025.0
P079,Product 79,Groceries,3062.5
P080,Product 80,Clothing,3100.0
P081,Product 81,Electronics,3137.5
P082,Product 82,Accessories,3175.0
P083,Product 83,Furniture,3212.5
P084,Product 84,Groceries,3250.0
P085,Product 85,Clothing,3287.5
P086,Product 86,Electronics,3325.0
P087,Product 87,Accessories,3362.5
P088,Product 88,Furniture,3400.0
P089,Product 89,Groceries,3437.5
P090,Product 90,Clothing,3475.0
P091,Product 91,Electronics,3512.5
P092,Product 92,Accessories,3550.0
P093,Product 93,Furniture,3587.5
P094,Product 94,Groceries,3625.0
P095,Product 95,Clothing,3662.5
P096,Product 96,Electronics,3700.0
P097,Product 97,Accessories,3737.5
P098,Product 98,Furniture,3775.0
P099,Product 99,Groceries,3812.5
P100,Product 100,Clothing,3850.0
