SaleID,SaleDate,CustomerID,ProductID,StoreID,Quantity,UnitPrice
1101,2026-09-11,C001,P001,S001,1,100.0
1102,2026-09-11,C002,P002,S002,2,125.5
1103,2026-09-11,C003,P003,S003,3,151.0
1104,2026-09-11,C004,P004,S004,4,176.5
1105,2026-09-11,C005,P005,S005,5,202.0
1106,not-a-date,C006,P006,S006,1,227.5
1107,2026-09-11,C007,P007,S007,2,253.0
1108,2026-09-11,C008,P008,S008,3,278.5
1109,2026-09-11,C009,P009,S009,4,304.0
1110,2026-09-11,C010,P010,S010,5,329.5
1111,2026-09-11,,P011,S011,1,355.0
1112,2026-09-11,C012,P012,S012,2,380.5
1113,2026-09-11,C013,P013,S013,3,406.0
1114,2026-09-11,C014,P014,S014,4,431.5
1115,2026-09-11,C015,P015,S015,5,457.0
1116,2026-09-11,C016,,S016,1,482.5
1117,2026-09-11,C017,P017,S017,2,508.0
1118,2026-09-11,C018,P018,S018,3,533.5
1119,2026-09-11,C019,P019,S019,4,559.0
1120,2026-09-11,C020,P020,S020,5,584.5
1121,2026-09-11,C021,P021,,1,100.0
1122,2026-09-11,C022,P022,S022,2,125.5
1123,2026-09-11,C023,P023,S023,3,151.0
1124,2026-09-11,C024,P024,S024,4,176.5
1125,2026-09-11,C025,P025,S025,5,202.0
1001,2026-09-11,C026,P026,S026,1,227.5
1127,2026-09-11,C027,P027,S027,2,253.0
1128,2026-09-11,C028,P028,S028,3,278.5
1129,2026-09-11,C029,P029,S029,4,304.0
1130,2026-09-11,C030,P030,S030,5,329.5
1130,2026-09-11,C031,P031,S031,1,355.0
1132,2026-09-11,C032,P032,S032,2,380.5
1133,2026-09-11,C033,P033,S033,3,406.0
1134,2026-09-11,C034,P034,S034,4,431.5
1135,2026-09-11,C035,P035,S035,5,457.0
1136,2026-09-11,C036,P036,S036,0,482.5
1137,2026-09-11,C037,P037,S037,2,508.0
1138,2026-09-11,C038,P038,S038,3,533.5
1139,2026-09-11,C039,P039,S039,4,559.0
1140,2026-09-11,C040,P040,S040,5,584.5
1141,2026-09-11,C041,P041,S041,1,0
1142,2026-09-11,C042,P042,S042,2,125.5
1143,2026-09-11,C043,P043,S043,3,151.0
1144,2026-09-11,C044,P044,S044,4,176.5
1145,2026-09-11,C045,P045,S045,5,202.0
1146,2026-09-11,C046,P046,S046,1,227.5
1147,2026-09-11,C047,P047,S047,2,253.0
1148,2026-09-11,C048,P048,S048,3,278.5
1149,2026-09-11,C049,P049,S049,4,304.0
1150,2026-09-11,C050,P050,S050,5,329.5
1151,2026-09-11,C051,P051,S051,1,355.0
1152,2026-09-11,C052,P052,S052,2,380.5
1153,2026-09-11,C053,P053,S053,3,406.0
1154,2026-09-11,C054,P054,S054,4,431.5
1155,2026-09-11,C055,P055,S055,5,457.0
1156,2026-09-11,C056,P056,S056,1,482.5
1157,2026-09-11,C057,P057,S057,2,508.0
1158,2026-09-11,C058,P058,S058,3,533.5
1159,2026-09-11,C059,P059,S059,4,559.0
1160,2026-09-11,C060,P060,S060,5,584.5
1161,2026-09-11,C061,P061,S061,1,100.0
1162,2026-09-11,C062,P062,S062,2,125.5
1163,2026-09-11,C063,P063,S063,3,151.0
1164,2026-09-11,C064,P064,S064,4,176.5
1165,2026-09-11,C065,P065,S065,5,202.0
1166,2026-09-11,C066,P066,S066,1,227.5
1167,2026-09-11,C067,P067,S067,2,253.0
1168,2026-09-11,C068,P068,S068,3,278.5
1169,2026-09-11,C069,P069,S069,4,304.0
1170,2026-09-11,C070,P070,S070,5,329.5
1171,2026-09-11,C071,P071,S071,1,355.0
1172,2026-09-11,C072,P072,S072,2,380.5
1173,2026-09-11,C073,P073,S073,3,406.0
1174,2026-09-11,C074,P074,S074,4,431.5
1175,2026-09-11,C075,P075,S075,5,457.0
1176,2026-09-11,C076,P076,S076,1,482.5
1177,2026-09-11,C077,P077,S077,2,508.0
1178,2026-09-11,C078,P078,S078,3,533.5
1179,2026-09-11,C079,P079,S079,4,559.0
1180,2026-09-11,C080,P080,S080,5,584.5
1181,2026-09-11,C081,P081,S081,1,100.0
1182,2026-09-11,C082,P082,S082,2,125.5
1183,2026-09-11,C083,P083,S083,3,151.0
1184,2026-09-11,C084,P084,S084,4,176.5
1185,2026-09-11,C085,P085,S085,5,202.0
1186,2026-09-11,C086,P086,S086,1,227.5
1187,2026-09-11,C087,P087,S087,2,253.0
1188,2026-09-11,C088,P088,S088,3,278.5
1189,2026-09-11,C089,P089,S089,4,304.0
1190,2026-09-11,C090,P090,S090,5,329.5
1191,2026-09-11,C001,P001,S001,1,355.0
1192,2026-09-11,C002,P002,S002,2,380.5
1193,2026-09-11,C003,P003,S003,3,406.0
1194,2026-09-11,C004,P004,S004,4,431.5
1195,2026-09-11,C005,P005,S005,5,457.0
1196,2026-09-11,C006,P006,S006,1,482.5
1197,2026-09-11,C007,P007,S007,2,508.0
1198,2026-09-11,C008,P008,S008,3,533.5
1199,2026-09-11,C009,P009,S009,4,559.0
1200,2026-09-11,C010,P010,S010,5,584.5
