StoreID,StoreName,City,State
S001,Kathmandu Store 1,Kathmandu,Bagmati
S002,Lalitpur Store 2,Lalitpur,Bagmati
S003,Bhaktapur Store 3,Bhaktapur,Bagmati
S004,Pokhara Store 4,Pokhara,Gandaki
S005,Biratnagar Store 5,Biratnagar,Koshi
S006,Bharatpur Store 6,Bharatpur,Bagmati
S007,Birgunj Store 7,Birgunj,Madhesh
S008,Butwal Store 8,Butwal,Lumbini
S009,Dharan Store 9,Dharan,Koshi
S010,Hetauda Store 10,Hetauda,Bagmati
S011,Dhangadhi Store 11,Dhangadhi,Sudurpashchim
,Nepalgunj Store 12,Nepalgunj,Lumbini
S013,Janakpur Store 13,Janakpur,Madhesh
S014,Itahari Store 14,Itahari,Koshi
S015,Birtamod Store 15,Birtamod,Koshi
S016,Damak Store 16,Damak,Koshi
S017,Tulsipur Store 17,Tulsipur,Lumbini
S018,Ghorahi Store 18,Ghorahi,Lumbini
S019,Banepa Store 19,Banepa,Bagmati
S020,Bharatpur Store 20,Bharatpur,Bagmati
S021,Kathmandu Store 21,Kathmandu,Bagmati
S022,Lalitpur Store 22,Lalitpur,Bagmati
S023,Bhaktapur Store 23,Bhaktapur,Bagmati
S024,Pokhara Store 24,Pokhara,Gandaki
S025,Biratnagar Store 25,Biratnagar,Koshi
S026,Bharatpur Store 26,Bharatpur,Bagmati
S027,Birgunj Store 27,Birgunj,Madhesh
S028,Butwal Store 28,Butwal,Lumbini
S029,Dharan Store 29,Dharan,Koshi
S030,,Hetauda,Bagmati
S031,Dhangadhi Store 31,Dhangadhi,Sudurpashchim
S032,Nepalgunj Store 32,Nepalgunj,Lumbini
S033,Janakpur Store 33,Janakpur,Madhesh
S034,Itahari Store 34,Itahari,Koshi
S035,Birtamod Store 35,Birtamod,Koshi
S036,Damak Store 36,Damak,Koshi
S037,Tulsipur Store 37,Tulsipur,Lumbini
S038,Ghorahi Store 38,Ghorahi,Lumbini
S039,Banepa Store 39,Banepa,Bagmati
S040,Bharatpur Store 40,Bharatpur,Bagmati
S041,Kathmandu Store 41,Kathmandu,Bagmati
S042,Lalitpur Store 42,Lalitpur,Bagmati
S043,Bhaktapur Store 43,Bhaktapur,Bagmati
S044,Pokhara Store 44,Pokhara,Gandaki
S045,Biratnagar Store 45,Biratnagar,Koshi
S046,Bharatpur Store 46,Bharatpur,Bagmati
S047,Birgunj Store 47,Birgunj,Madhesh
S048,Butwal Store 48,Butwal,Lumbini
S049,Dharan Store 49,Dharan,Koshi
S050,Hetauda Store 50,Hetauda,Bagmati
S051,Dhangadhi Store 51,Dhangadhi,Sudurpashchim
S052,Nepalgunj Store 52,Nepalgunj,Lumbini
S053,Janakpur Store 53,Janakpur,Madhesh
S054,Itahari Store 54,Itahari,Koshi
S055,Birtamod Store 55,Birtamod,Koshi
S056,Damak Store 56,Damak,Koshi
S057,Tulsipur Store 57,Tulsipur,Lumbini
S058,Ghorahi Store 58,Ghorahi,Lumbini
S059,Banepa Store 59,Banepa,Bagmati
S060,Bharatpur Store 60,Bharatpur,Bagmati
S061,Kathmandu Store 61,Kathmandu,Bagmati
S062,Lalitpur Store 62,Lalitpur,Bagmati
S063,Bhaktapur Store 63,Bhaktapur,Bagmati
S064,Pokhara Store 64,Pokhara,Gandaki
S065,Biratnagar Store 65,Biratnagar,Koshi
S066,Bharatpur Store 66,Bharatpur,Bagmati
S067,Birgunj Store 67,Birgunj,Madhesh
S068,Butwal Store 68,Butwal,Lumbini
S069,Dharan Store 69,Dharan,Koshi
S070,Hetauda Store 70,Hetauda,Bagmati
S071,Dhangadhi Store 71,Dhangadhi,Sudurpashchim
S072,Nepalgunj Store 72,Nepalgunj,Lumbini
S073,Janakpur Store 73,Janakpur,Madhesh
S074,Itahari Store 74,Itahari,Koshi
S075,Birtamod Store 75,Birtamod,Koshi
S076,Damak Store 76,Damak,Koshi
S077,Tulsipur Store 77,Tulsipur,Lumbini
S078,Ghorahi Store 78,Ghorahi,Lumbini
S079,Banepa Store 79,Banepa,Bagmati
S080,Bharatpur Store 80,Bharatpur,Bagmati
S081,Kathmandu Store 81,Kathmandu,Bagmati
S082,Lalitpur Store 82,Lalitpur,Bagmati
S083,Bhaktapur Store 83,Bhaktapur,Bagmati
S084,Pokhara Store 84,Pokhara,Gandaki
S085,Biratnagar Store 85,Biratnagar,Koshi
S086,Bharatpur Store 86,Bharatpur,Bagmati
S087,Birgunj Store 87,Birgunj,Madhesh
S088,Butwal Store 88,Butwal,Lumbini
S089,Dharan Store 89,Dharan,Koshi
S090,Hetauda Store 90,Hetauda,Bagmati
S091,Dhangadhi Store 91,Dhangadhi,Sudurpashchim
S092,Nepalgunj Store 92,Nepalgunj,Lumbini
S093,Janakpur Store 93,Janakpur,Madhesh
S094,Itahari Store 94,Itahari,Koshi
S095,Birtamod Store 95,Birtamod,Koshi
S096,Damak Store 96,Damak,Koshi
S097,Tulsipur Store 97,Tulsipur,Lumbini
S098,Ghorahi Store 98,Ghorahi,Lumbini
S099,Banepa Store 99,Banepa,Bagmati
S100,Bharatpur Store 100,Bharatpur,Bagmati
